raw_name,category_id,alias_type,dev_definition
All Baking & Mixes,21,aggregate_view_all,Aggregate 'view all' entry -> maps to parent L3 category 'Baking & Mixes' (id 21). Same meaning as the parent category.
All Beverages,26,aggregate_view_all,Aggregate 'view all' entry -> maps to parent L3 category 'Beverages' (id 26). Same meaning as the parent category.
All Canned Goods & Vegetables,19,aggregate_view_all,Aggregate 'view all' entry -> maps to parent L3 category 'Canned Goods & Vegetables' (id 19). Same meaning as the parent category.
All Desserts & Sweets,24,aggregate_view_all,Aggregate 'view all' entry -> maps to parent L3 category 'Desserts & Sweets' (id 24). Same meaning as the parent category.
All Fresh & Frozen,27,aggregate_view_all,Aggregate 'view all' entry -> maps to parent L3 category 'Fresh & Frozen' (id 27). Same meaning as the parent category.
All Household,28,aggregate_view_all,Aggregate 'view all' entry -> maps to parent L3 category 'Household' (id 28). Same meaning as the parent category.
All Rice & Noodles,6,aggregate_view_all,Aggregate 'view all' entry -> maps to parent L3 category 'Rice & Noodles' (id 6). Same meaning as the parent category.
All Sauces & Seasonings,43,aggregate_view_all,Aggregate 'view all' entry -> maps to parent L3 category 'Sauces & Seasonings' (id 43). Same meaning as the parent category.
All Seafood & Meat,20,aggregate_view_all,Aggregate 'view all' entry -> maps to parent L3 category 'Seafood & Meat' (id 20). Same meaning as the parent category.
All Snacks,25,aggregate_view_all,Aggregate 'view all' entry -> maps to parent L3 category 'Snacks' (id 25). Same meaning as the parent category.
100 Plus,177,category_match,Matches ust_category '100 PLUS' (id 177). Naming normalization only (case / '&' vs 'and' / separator).
100 PLUS,177,category_match,Matches ust_category '100 PLUS' (id 177).
2025 JoyLuck Spices,9,category_match,Matches ust_category '2025 JoyLuck Spices' (id 9).
2025 Joyluck Spices,9,category_match,Matches ust_category '2025 JoyLuck Spices' (id 9). Naming normalization only (case / '&' vs 'and' / separator).
2026 New Crop Rice,173,category_match,Matches ust_category '2026 New Crop Rice' (id 173).
3 BALLERINA,178,category_match,Matches ust_category '3 BALLERINA' (id 178).
3 Ballerina,178,category_match,Matches ust_category '3 BALLERINA' (id 178). Naming normalization only (case / '&' vs 'and' / separator).
3 MIEN,179,category_match,Matches ust_category '3 MIEN' (id 179).
999,180,category_match,Matches ust_category '999' (id 180).
AA,181,category_match,Matches ust_category 'AA' (id 181).
Aa,181,category_match,Matches ust_category 'AA' (id 181). Naming normalization only (case / '&' vs 'and' / separator).
Ab,182,category_match,Matches ust_category 'AB' (id 182). Naming normalization only (case / '&' vs 'and' / separator).
AB,182,category_match,Matches ust_category 'AB' (id 182).
ABC,183,category_match,Matches ust_category 'ABC' (id 183).
ACECOOK,184,category_match,Matches ust_category 'ACECOOK' (id 184).
AJINOMOTO,186,category_match,Matches ust_category 'AJINOMOTO' (id 186).
Ajinomoto,186,category_match,Matches ust_category 'AJINOMOTO' (id 186). Naming normalization only (case / '&' vs 'and' / separator).
ALOHA,41,category_match,Matches ust_category 'ALOHA' (id 41).
Aloha,41,category_match,Matches ust_category 'ALOHA' (id 41). Naming normalization only (case / '&' vs 'and' / separator).
AMIRA,189,category_match,Matches ust_category 'AMIRA' (id 189).
Apple,31,category_match,Matches ust_category 'APPLE' (id 31). Naming normalization only (case / '&' vs 'and' / separator).
APPLE,31,category_match,Matches ust_category 'APPLE' (id 31).
ARGO,191,category_match,Matches ust_category 'ARGO' (id 191).
ARIGATO,192,category_match,Matches ust_category 'ARIGATO' (id 192).
Arm&hammer,193,category_match,Matches ust_category 'ARM&HAMMER' (id 193). Naming normalization only (case / '&' vs 'and' / separator).
Aroy-d,194,category_match,Matches ust_category 'AROY-D' (id 194). Naming normalization only (case / '&' vs 'and' / separator).
AROY-D,194,category_match,Matches ust_category 'AROY-D' (id 194).
B&w,196,category_match,Matches ust_category 'B&W' (id 196). Naming normalization only (case / '&' vs 'and' / separator).
BENTO,198,category_match,Matches ust_category 'BENTO' (id 198).
BHAESAJ,199,category_match,Matches ust_category 'BHAESAJ' (id 199).
BIGEN,200,category_match,Matches ust_category 'BIGEN' (id 200).
BINBIN,201,category_match,Matches ust_category 'BINBIN' (id 201).
BINGGRAE,202,category_match,Matches ust_category 'BINGGRAE' (id 202).
Bonus,208,category_match,Matches ust_category 'BONUS' (id 208). Naming normalization only (case / '&' vs 'and' / separator).
BUTTERFLY,213,category_match,Matches ust_category 'BUTTERFLY' (id 213).
C&H,214,category_match,Matches ust_category 'C&H' (id 214).
CALBEE,216,category_match,Matches ust_category 'CALBEE' (id 216).
Calbee,216,category_match,Matches ust_category 'CALBEE' (id 216). Naming normalization only (case / '&' vs 'and' / separator).
CARABAO,218,category_match,Matches ust_category 'CARABAO' (id 218).
CARNATION,221,category_match,Matches ust_category 'CARNATION' (id 221).
Carnation,221,category_match,Matches ust_category 'CARNATION' (id 221). Naming normalization only (case / '&' vs 'and' / separator).
CHAOKOH,39,category_match,Matches ust_category 'CHAOKOH' (id 39).
Chaokoh,39,category_match,Matches ust_category 'CHAOKOH' (id 39). Naming normalization only (case / '&' vs 'and' / separator).
Chef Choice,224,category_match,Matches ust_category 'CHEF CHOICE' (id 224). Naming normalization only (case / '&' vs 'and' / separator).
CHEF CHOICE,224,category_match,Matches ust_category 'CHEF CHOICE' (id 224).
Chef's Delight Swai,13,category_match,Matches ust_category 'Chef's Delight Swai' (id 13).
